Bookmakers,Competitions,Date_match,Team_1,Team_2,W1,Draw,W2,Marginal_
tennisi,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,68","3,3","2,08","5,5538664"
melbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,7","3,3","2,08","5,4069804"
fonbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,75","3,3","2,1","4,5887446"
pari,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,3","2,1","4,2378674"
betboom,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,95","3,3","2,1","3,2385336"
pinup,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,99","3,33","2,12","2,2624980"
zenit,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,4","2,12","2,8973655"
1xstavka,World cup 2022,21.11.2022 16:00,England,Iran,"1,32","5,25",12,"3,1385281"
fonbet,World cup 2022,21.11.2022 16:00,England,Iran,"1,3","4,9","12,5","5,3312402"
1xstavka,World cup 2022,21.11.2022 19:00,Senegal,Netherlands,"5,45","3,8","1,71","3,1439455"
fonbet,World cup 2022,21.11.2022 19:00,Senegal,Netherlands,"5,8","3,7","1,65","4,8744669"
1xstavka,World cup 2022,21.11.2022 22:00,USA,Wales,"2,53","3,15","3,125","3,2717234"
fonbet,World cup 2022,21.11.2022 22:00,USA,Wales,"2,5","3,1","3,1","4,5161290"
1xstavka,World cup 2022,22.11.2022 13:00,Argentina,Saudi Arabia,"1,19","7,4",18,"3,1026825"
fonbet,World cup 2022,22.11.2022 13:00,Argentina,Saudi Arabia,"1,17","7,1",20,"4,5545925"
1xstavka,World cup 2022,22.11.2022 16:00,Denmark,Tunisia,"1,48","4,4","7,7","3,2818533"
fonbet,World cup 2022,22.11.2022 16:00,Denmark,Tunisia,"1,45","4,3","8,5","3,9860371"
1xstavka,World cup 2022,22.11.2022 19:00,Mexico,Poland,"2,76","3,24","2,74","3,5924320"
fonbet,World cup 2022,22.11.2022 19:00,Mexico,Poland,"2,75","3,2","2,7","4,6506734"
1xstavka,World cup 2022,22.11.2022 22:00,France,Australia,"1,28",6,12,"3,1250000"
fonbet,World cup 2022,22.11.2022 22:00,France,Australia,"1,25",6,14,"3,8095238"
1xstavka,World cup 2022,23.11.2022 13:00,Morocco,Croatia,"4,64","3,32","1,94","3,2185978"
fonbet,World cup 2022,23.11.2022 13:00,Morocco,Croatia,"4,7","3,3","1,88","4,7711154"
1xstavka,World cup 2022,23.11.2022 16:00,Germany,Japan,"1,45","4,84","7,3","3,3253044"
fonbet,World cup 2022,23.11.2022 16:00,Germany,Japan,"1,45","4,6","7,3","4,4032778"
1xstavka,World cup 2022,23.11.2022 19:00,Spain,Costa Rica,"1,22","6,65",16,"3,2548071"
fonbet,World cup 2022,23.11.2022 19:00,Spain,Costa Rica,"1,2","6,3",18,"4,7619048"
1xstavka,World cup 2022,23.11.2022 22:00,Belgium,Canada,"1,38","5,15","8,8","3,2448802"
fonbet,World cup 2022,23.11.2022 22:00,Belgium,Canada,"1,37","4,9",9,"4,5119751"
1xstavka,World cup 2022,24.11.2022 13:00,Swirzerland,Cameroon,"1,84","3,52","4,86","3,3330487"
fonbet,World cup 2022,24.11.2022 13:00,Swirzerland,Cameroon,"1,75","3,5","5,2","4,9450549"
1xstavka,World cup 2022,24.11.2022 16:00,Uruguay,South Korea,"1,83","3,58","4,82","3,3246576"
fonbet,World cup 2022,24.11.2022 16:00,Uruguay,South Korea,"1,75","3,55","5,2","4,5426405"
1xstavka,World cup 2022,24.11.2022 19:00,Portugal,Ghana,"1,452","4,44","8,5","3,1577518"
fonbet,World cup 2022,24.11.2022 19:00,Portugal,Ghana,"1,45","4,3","8,5","3,9860371"
1xstavka,World cup 2022,24.11.2022 22:00,Brazil,Serbia,"1,48","4,6","7,2","3,1955869"
fonbet,World cup 2022,24.11.2022 22:00,Brazil,Serbia,"1,45","4,5","7,5","4,5210728"
1xstavka,World cup 2022,25.11.2022 13:00,Wales,Iran,"2,27","3,125","3,66","3,3752678"
fonbet,World cup 2022,25.11.2022 13:00,Wales,Iran,"2,25","3,05","3,7","4,2583567"
1xstavka,World cup 2022,25.11.2022 16:00,Qatar,Senegal,"3,98","3,24","2,11","3,3831906"
fonbet,World cup 2022,25.11.2022 16:00,Qatar,Senegal,4,"3,2","2,05","5,0304878"
1xstavka,World cup 2022,25.11.2022 19:00,Netherlands,Ecuador,"1,63","4,14","5,6","3,3614255"
fonbet,World cup 2022,25.11.2022 19:00,Netherlands,Ecuador,"1,6","4,1","5,6","4,7473868"
1xstavka,World cup 2022,25.11.2022 22:00,England,USA,"1,71","3,9","5,25","3,1681769"
fonbet,World cup 2022,25.11.2022 22:00,England,USA,"1,65","3,9","5,5","4,4289044"
1xstavka,World cup 2022,26.11.2022 13:00,Tunisia,Australia,"2,97","3,06","2,69","3,5244934"
fonbet,World cup 2022,26.11.2022 13:00,Tunisia,Australia,"2,95",3,"2,65","4,9674875"
1xstavka,World cup 2022,26.11.2022 16:00,Poland,Saudi Arabia,"1,67","3,98","5,45","3,3544915"
fonbet,World cup 2022,26.11.2022 16:00,Poland,Saudi Arabia,"1,62","3,9","5,8","4,6108000"
1xstavka,World cup 2022,26.11.2022 19:00,France,Denmark,"1,97","3,44","4,26","3,3053672"
fonbet,World cup 2022,26.11.2022 19:00,France,Denmark,"1,93","3,4","4,2","5,0347600"
1xstavka,World cup 2022,26.11.2022 22:00,Argentina,Mexico,"1,62","3,98","6,05","3,3829488"
fonbet,World cup 2022,26.11.2022 22:00,Argentina,Mexico,"1,58","3,95","6,3","4,4806108"
1xstavka,World cup 2022,27.11.2022 13:00,Japan,Costa Rica,"1,9","3,4","4,74","3,1403901"
fonbet,World cup 2022,27.11.2022 13:00,Japan,Costa Rica,"1,85","3,35","4,7","5,1813961"
1xstavka,World cup 2022,27.11.2022 16:00,Belgium,Morocco,"1,55","4,24","6,55","3,3682103"
fonbet,World cup 2022,27.11.2022 16:00,Belgium,Morocco,"1,52","4,2","6,5","4,9836129"
