BookMakers,Competitions,Date,Time,Team_1,Team_2,W1,Draw,W2
BetCity,World cup 2022,20 ноября,19:00,Катар,Эквадор,3.40,3.10,2.45
BetCity,World cup 2022,21 ноября,16:00,Англия,Иран,1.39,4.60,11.5
BetCity,World cup 2022,21 ноября,19:00,Сенегал,Нидерланды,6.40,3.90,1.64
BetCity,World cup 2022,21 ноября,22:00,США,Уэльс,2.70,3.10,3.00
BetCity,World cup 2022,22 ноября,13:00,Аргентина,Саудовская Аравия,1.21,7.00,18.0
BetCity,World cup 2022,22 ноября,16:00,Дания,Тунис,1.48,4.40,8.20
BetCity,World cup 2022,22 ноября,19:00,Мексика,Польша,2.75,3.20,2.85
BetCity,World cup 2022,22 ноября,22:00,Франция,Австралия,1.27,6.20,13.0
BetCity,World cup 2022,23 ноября,13:00,Марокко,Хорватия,4.70,3.40,1.93
BetCity,World cup 2022,23 ноября,16:00,Германия,Япония,1.52,4.80,6.30
BetCity,World cup 2022,23 ноября,19:00,Испания,Коста-Рика,1.18,7.50,22.0
BetCity,World cup 2022,23 ноября,22:00,Бельгия,Канада,1.49,4.60,7.30
BetCity,World cup 2022,24 ноября,13:00,Швейцария,Камерун,1.73,3.70,5.70
BetCity,World cup 2022,24 ноября,16:00,Уругвай,Южная Корея,1.80,3.60,5.20
BetCity,World cup 2022,24 ноября,19:00,Португалия,Гана,1.42,4.70,9.20
BetCity,World cup 2022,24 ноября,22:00,Бразилия,Сербия,1.43,4.90,8.20
BetCity,World cup 2022,25 ноября,13:00,Уэльс,Иран,2.23,3.20,3.60
BetCity,World cup 2022,25 ноября,16:00,Катар,Сенегал,3.90,3.20,2.14
BetCity,World cup 2022,25 ноября,19:00,Нидерланды,Эквадор,1.60,4.10,6.00
BetCity,World cup 2022,25 ноября,22:00,Англия,США,1.65,3.90,5.80
BetCity,World cup 2022,26 ноября,13:00,Тунис,Австралия,2.80,3.20,2.75
BetCity,World cup 2022,26 ноября,16:00,Польша,Саудовская Аравия,1.67,3.80,5.70
BetCity,World cup 2022,26 ноября,19:00,Франция,Дания,2.05,3.40,3.90
BetCity,World cup 2022,26 ноября,22:00,Аргентина,Мексика,1.60,4.00,6.20
BetCity,World cup 2022,27 ноября,13:00,Япония,Коста-Рика,1.76,3.60,5.20
BetCity,World cup 2022,27 ноября,16:00,Бельгия,Марокко,Матч! Страна,1.56,4.30
BetCity,World cup 2022,27 ноября,19:00,Хорватия,Канада,1.76,3.80,4.90
BetCity,World cup 2022,27 ноября,22:00,Испания,Германия,2.60,3.30,2.85
BetCity,World cup 2022,28 ноября,13:00,Камерун,Сербия,4.90,3.40,1.86
BetCity,World cup 2022,28 ноября,16:00,Южная Корея,Гана,2.65,3.10,3.00
BetCity,World cup 2022,28 ноября,19:00,Бразилия,Швейцария,1.48,4.40,7.50
BetCity,World cup 2022,28 ноября,22:00,Португалия,Уругвай,2.05,3.40,3.90
BetCity,World cup 2022,29 ноября,18:00,Нидерланды,Катар,1.28,6.00,11.5
BetCity,World cup 2022,29 ноября,18:00,Эквадор,Сенегал,2.80,3.20,2.75
BetCity,World cup 2022,29 ноября,22:00,Уэльс,Англия,6.10,3.90,1.62
BetCity,World cup 2022,29 ноября,22:00,Иран,США,3.90,3.40,2.06
BetCity,World cup 2022,30 ноября,18:00,Тунис,Франция,11.0,5.00,1.34
BetCity,World cup 2022,30 ноября,18:00,Австралия,Дания,6.40,4.30,1.54
