Team_1,Team_2
Катар,Эквадор
Англия,Иран
Сенегал,Нидерланды
США,Уэльс
Аргентина,Саудовская Аравия
Дания,Тунис
Мексика,Польша
Франция,Австралия
Марокко,Хорватия
Германия,Япония
Испания,Коста-Рика
Бельгия,Канада
Швейцария,Камерун
Уругвай,Южная Корея
Португалия,Гана
Бразилия,Сербия
Уэльс,Иран
Катар,Сенегал
Нидерланды,Эквадор
Англия,США
Тунис,Австралия
Польша,Саудовская Аравия
Франция,Дания
Аргентина,Мексика
Япония,Коста-Рика
Бельгия,Марокко
Хорватия,Канада
Испания,Германия
Камерун,Сербия
Южная Корея,Гана
Бразилия,Швейцария
Португалия,Уругвай
Нидерланды,Катар
Эквадор,Сенегал
Уэльс,Англия
Иран,США
Тунис,Франция
Австралия,Дания
Польша,Аргентина
Саудовская Аравия,Мексика
Хорватия,Бельгия
Канада,Марокко
Япония,Испания
Коста-Рика,Германия
Южная Корея,Португалия
Гана,Уругвай
Камерун,Бразилия
Сербия,Швейцария
