iter	MultiClass
0	1.065306362
1	1.037437168
2	1.016784568
3	0.9978643318
4	0.9829927653
5	0.9696798307
6	0.958357829
7	0.9487990853
8	0.9404222866
9	0.9345264191
10	0.9285492335
11	0.9229249448
12	0.9179594194
13	0.9137622395
14	0.9095949735
15	0.9056058935
16	0.9026017628
17	0.8993368652
18	0.8956716106
19	0.8928693583
20	0.8904509177
21	0.8876261499
22	0.8856838314
23	0.8835076594
24	0.8816355184
25	0.8797492576
26	0.8784663168
27	0.8768023112
28	0.8750890995
29	0.873944093
30	0.872705802
31	0.871001831
32	0.8703344194
33	0.8692967826
34	0.8681578745
35	0.8672214301
36	0.8657698685
37	0.8642496649
38	0.8634780852
39	0.8627427029
40	0.8612580285
41	0.8605631915
42	0.8591095226
43	0.8586659181
44	0.8578263129
45	0.8566310483
46	0.8556374868
47	0.854587166
48	0.8537708633
49	0.8525511237
50	0.8513821485
51	0.8503711887
52	0.8495516969
53	0.8485943665
54	0.8477011626
55	0.8467443288
56	0.8457566836
57	0.8445961336
58	0.8435229945
59	0.8421744711
60	0.8411010352
61	0.8403359838
62	0.8394724779
63	0.8388823964
64	0.8380346103
65	0.8373817686
66	0.836573795
67	0.8359221277
68	0.8350953407
69	0.8343770216
70	0.833870054
71	0.8331407927
72	0.8323825216
73	0.8315749346
74	0.8307225928
75	0.8300507725
76	0.8294866626
77	0.8284711898
78	0.827443544
79	0.8267574368
80	0.8257632945
81	0.8252273276
82	0.8243684762
83	0.8239296254
84	0.8225999487
85	0.8217418599
86	0.8206300953
87	0.8198751305
88	0.8191751544
89	0.8183675435
90	0.8175232867
91	0.8165739818
92	0.8160638321
93	0.8154682022
94	0.8148445913
95	0.813611622
96	0.8129620189
97	0.8120531978
98	0.8110644624
99	0.8104119065
100	0.8097320883
101	0.8091663567
102	0.8081278968
103	0.8071769363
104	0.8062544447
105	0.805552188
106	0.8048894057
107	0.804547965
108	0.8035460884
109	0.8025995219
110	0.8021680586
111	0.8010466053
112	0.7999799105
113	0.7989157348
114	0.7980403901
115	0.7974106601
116	0.7960988473
117	0.7953066626
118	0.7942457722
119	0.7936895849
120	0.7931220555
121	0.7927352531
122	0.7917957614
123	0.790842099
124	0.7899864398
125	0.7892095886
126	0.7880172835
127	0.7873748787
128	0.7866015034
129	0.7858205165
130	0.7850396437
131	0.7839883199
132	0.7832813387
133	0.7827135023
134	0.7815884709
135	0.7811199862
136	0.780736446
137	0.7798860132
138	0.7786704559
139	0.7779299053
140	0.7768625606
141	0.7761065813
142	0.7754406229
143	0.774752504
144	0.7737553353
145	0.7734570523
146	0.7729951442
147	0.7715807885
148	0.7707301026
149	0.7692859293
150	0.7685650736
151	0.7678519293
152	0.7671667348
153	0.7667575207
154	0.7660906982
155	0.7654040977
156	0.7647421512
157	0.7641412499
158	0.7634575148
159	0.7628843062
160	0.7620969776
161	0.7612734889
162	0.7607460045
163	0.7594787163
164	0.7584534092
165	0.7578396781
166	0.7572806283
167	0.7567233425
