iter	Passed	Remaining
0	128	128270
1	264	131774
2	408	135817
3	553	137813
4	675	134335
5	822	136211
6	961	136407
7	1077	133630
8	1204	132655
9	1339	132591
10	1485	133584
11	1595	131384
12	1710	129849
13	1830	128906
14	1975	129749
15	2093	128745
16	2239	129506
17	2357	128603
18	2523	130283
19	2647	129719
20	2781	129687
21	2909	129361
22	3056	129817
23	3188	129671
24	3303	128851
25	3433	128616
26	3576	128899
27	3690	128125
28	3812	127659
29	3901	126133
30	4012	125413
31	4108	124292
32	4197	123012
33	4298	122136
34	4389	121027
35	4501	120543
36	4582	119259
37	4679	118459
38	4777	117723
39	4882	117178
40	4976	116400
41	5076	115783
42	5167	115012
43	5235	113755
44	5301	112507
45	5361	111192
46	5421	109926
47	5480	108698
48	5545	107625
49	5614	106678
50	5677	105637
51	5745	104747
52	5806	103745
53	5872	102885
54	5933	101956
55	5988	100953
56	6039	99922
57	6099	99060
58	6164	98315
59	6225	97531
60	6287	96790
61	6355	96156
62	6418	95469
63	6479	94758
64	6537	94033
65	6598	93379
66	6654	92670
67	6721	92123
68	6779	91471
69	6840	90875
70	6904	90335
71	6973	89882
72	7033	89312
73	7100	88848
74	7158	88293
75	7219	87774
76	7283	87311
77	7339	86757
78	7403	86309
79	7459	85785
80	7522	85346
81	7586	84934
82	7651	84538
83	7710	84081
84	7777	83725
85	7844	83369
86	7911	83026
87	7964	82537
88	8031	82208
89	8089	81793
90	8154	81455
91	8214	81074
92	8271	80666
93	8336	80352
94	8398	80004
95	8464	79708
96	8531	79420
97	8594	79107
98	8652	78749
99	8707	78368
100	8770	78066
101	8835	77785
102	8891	77434
103	8951	77118
104	9013	76832
105	9076	76550
106	9117	76092
107	9158	75642
108	9201	75214
109	9238	74751
110	9272	74266
111	9308	73799
112	9340	73322
113	9374	72860
114	9406	72390
115	9439	71933
116	9470	71472
117	9503	71032
118	9534	70589
119	9567	70162
120	9598	69724
121	9632	69324
122	9664	68909
123	9697	68510
124	9729	68107
125	9763	67722
126	9798	67352
127	9833	66994
128	9871	66650
129	9905	66291
130	9941	65950
131	9975	65594
132	10008	65242
133	10041	64894
134	10075	64554
135	10107	64215
136	10140	63874
137	10174	63552
138	10207	63226
139	10241	62909
140	10273	62588
141	10307	62281
142	10342	61985
143	10376	61682
144	10410	61384
145	10443	61086
146	10477	60796
147	10509	60503
148	10542	60210
149	10575	59925
150	10607	59638
151	10642	59371
152	10677	59108
153	10711	58841
154	10747	58591
155	10783	58343
156	10818	58089
157	10852	57832
158	10885	57577
159	10922	57342
160	10956	57096
161	10989	56846
162	11022	56598
163	11053	56347
164	11088	56112
165	11122	55882
166	11157	55652
167	11189	55412
168	11223	55189
169	11255	54953
170	11290	54736
171	11323	54508
172	11358	54298
173	11389	54067
174	11424	53856
175	11458	53648
176	11491	53433
177	11525	53224
178	11558	53015
179	11591	52807
180	11625	52601
181	11657	52396
182	11693	52205
183	11726	52006
184	11760	51811
185	11793	51613
186	11830	51434
187	11863	51241
188	11896	51048
189	11930	50862
190	11965	50679
191	11999	50496
192	12031	50306
193	12065	50127
194	12100	49955
195	12133	49771
196	12167	49596
197	12200	49420
198	12235	49250
199	12268	49074
200	12301	48899
201	12334	48728
202	12369	48563
203	12404	48400
204	12440	48243
205	12472	48074
206	12507	47914
207	12540	47750
208	12574	47591
209	12608	47430
210	12641	47271
211	12674	47111
212	12707	46951
213	12743	46805
214	12781	46666
215	12815	46515
216	12850	46368
217	12885	46221
218	12919	46075
219	12951	45917
220	12983	45766
221	13018	45622
222	13052	45477
223	13085	45333
224	13120	45194
225	13154	45050
226	13188	44912
227	13222	44771
228	13256	44632
229	13288	44486
230	13324	44356
231	13356	44215
232	13389	44076
233	13421	43936
234	13457	43808
235	13491	43675
236	13524	43539
237	13558	43409
238	13591	43276
239	13624	43142
240	13658	43014
241	13690	42882
242	13723	42752
243	13758	42627
244	13791	42499
245	13827	42381
246	13859	42253
247	13892	42126
248	13926	42004
249	13959	41879
250	13994	41760
251	14027	41637
252	14061	41517
253	14095	41397
254	14128	41278
255	14163	41162
256	14198	41047
257	14231	40929
258	14262	40804
259	14295	40688
260	14330	40575
261	14364	40461
262	14398	40348
263	14430	40231
264	14463	40115
265	14497	40003
266	14532	39896
267	14565	39782
268	14596	39665
269	14639	39580
270	14728	39620
271	14763	39513
272	14801	39415
273	14834	39305
274	14867	39196
275	14900	39087
276	14937	38987
277	14970	38879
278	15002	38769
279	15036	38665
280	15070	38560
281	15101	38450
282	15135	38347
283	15168	38241
284	15201	38138
285	15236	38036
286	15266	37927
287	15301	37829
288	15335	37727
289	15367	37623
290	15400	37522
291	15434	37424
292	15468	37326
293	15502	37226
294	15536	37129
295	15569	37029
296	15601	36929
297	15634	36829
298	15667	36731
299	15701	36636
300	15736	36543
301	15770	36448
302	15804	36355
303	15838	36262
304	15870	36163
305	15902	36067
306	15940	35982
307	15973	35888
308	16008	35799
309	16042	35707
310	16075	35614
311	16107	35518
312	16141	35428
313	16174	35337
314	16207	35244
315	16242	35158
316	16275	35067
317	16308	34976
318	16340	34883
319	16372	34792
320	16406	34703
321	16439	34615
322	16476	34533
323	16508	34443
324	16541	34355
325	16576	34272
326	16608	34182
327	16643	34098
328	16675	34010
329	16708	33922
330	16740	33834
331	16774	33751
332	16812	33674
333	16846	33591
334	16880	33509
335	16912	33422
336	16945	33337
337	16977	33251
338	17009	33166
339	17045	33089
340	17080	33009
341	17111	32922
342	17143	32836
343	17176	32754
344	17210	32675
345	17243	32592
346	17276	32511
347	17312	32436
348	17344	32353
349	17378	32273
350	17412	32196
351	17445	32115
352	17478	32035
353	17511	31956
354	17545	31878
355	17580	31802
356	17612	31722
357	17646	31646
358	17681	31570
359	17716	31495
360	17749	31417
361	17782	31339
362	17818	31268
363	17851	31191
364	17883	31113
365	17917	31036
366	17951	30962
367	17983	30884
368	18016	30808
369	18051	30736
370	18084	30660
371	18116	30584
372	18151	30512
373	18186	30439
374	18219	30365
375	18252	30291
376	18285	30217
377	18317	30142
378	18352	30071
379	18386	29999
380	18418	29923
381	18453	29854
382	18488	29783
383	18520	29710
384	18551	29634
385	18585	29563
386	18619	29492
387	18652	29420
388	18686	29350
